x;y;gid;Name;x2-x1;y2-y1;x^2;y^2;x^2+y^2;Distancia(km);Distancia(M);entero
-73,637516;4,133642;49;CCial Villacentro;0,023345;-0,014233;0,000544989;0,000202578;0,000747567;0,027341677;27,34167723;27
-73,614171;4,119409;50;Vía Puerto Lóp;-0,001266;-0,000599;1,60276E-06;3,58801E-07;1,96156E-06;0,001400556;1,400555961;1
-73,615437;4,11881;51;Septima Brigada;-0,004463;-0,000342;1,99184E-05;1,16964E-07;2,00353E-05;0,004476085;4,476084561;4
-73,6199;4,118468;52;Vía Bogot;0,044761;0,005628;0,002003547;3,16744E-05;0,002035222;0,045113429;45,11342932;45
-73,575139;4,124096;53;Manga de Coleo;-0,067205;-0,00169;0,004516512;2,8561E-06;0,004519368;0,067226246;67,2262458;67
-73,642344;4,122406;54;Parque Los Fundadores;0,001083;-0,00442;1,17289E-06;1,95364E-05;2,07093E-05;0,004550746;4,550745983;4
-73,641261;4,117986;55;Discoteca Kuarzo;-0,012671;-0,006795;0,000160554;4,6172E-05;0,000206726;0,014377979;14,37797851;14
-73,653932;4,111191;56;Discoteca Capachos;0,016877;0,024618;0,000284833;0,000606046;0,000890879;0,029847597;29,84759711;29
-73,637055;4,135809;57;Hotel Don Lolo;-0,000134;0,001658;1,7956E-08;2,74896E-06;2,76692E-06;0,001663406;1,663406144;1
-73,637189;4,137467;58;Clínica Saludcoo;0,002483;0,004463;6,16529E-06;1,99184E-05;2,60837E-05;0,005107216;5,107216267;5
-73,634706;4,14193;59;Av 40;-0,003626;0,015596;1,31479E-05;0,000243235;0,000256383;0,016011967;16,01196715;16
